"","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Argentina",11.8158567774936,12.3037974683544,13.0075187969925,12.4069478908189,14.3243243243243,14.8039215686275,15.3284671532847,13.719806763285,13.2775119617225
"Australia",NA,9.61165048543689,12.3333333333333,11.5962441314554,14.046511627907,14.9115044247788,15.4585152838428,16.7811158798283,16.0169491525424
"Austria",25.2439024390244,22.5609756097561,20.4761904761905,25.4761904761905,23.3333333333333,24.4047619047619,23.5714285714286,24.4705882352941,24.9411764705882
"Belgium",27.1153846153846,28.3809523809524,26.0952380952381,26.8867924528302,20.6542056074766,30.6481481481481,30.1851851851852,29.1891891891892,26.9369369369369
"Brazil",5.8867125463208,5.48353371667538,6.85375901132853,8.01755291688178,9.89764585465711,11.2201321809863,12.3538306451613,12.6796407185629,13.4158415841584
"Bulgaria",2.46753246753247,1.18421052631579,1.05263157894737,1.46666666666667,2.66666666666667,0.54054054054054,0.27027027027027,2.91666666666667,5.27777777777778
"Canada",14.3558282208589,14.9848024316109,14.6385542168675,14.4940476190476,14.6017699115044,15.4810495626822,15.6195965417867,15.6818181818182,16.6478873239437
"Chile",9.33333333333333,8.13253012048193,7.08333333333333,6.52941176470588,5.38011695906433,6.53179190751445,8.5632183908046,5.85227272727273,6.91011235955056
"Colombia",8.55291576673866,NA,9.33618843683083,12.1225382932166,12.2894168466523,8.35820895522388,7.83613445378151,6.81159420289855,7.07566462167689
"Croatia",12.3913043478261,12.6086956521739,18.0434782608696,17.7272727272727,30.6818181818182,33.6363636363636,34.7727272727273,33.4883720930233,35.1162790697674
"Cuba",13.8938053097345,17.6991150442478,16.4601769911504,12.1428571428571,9.28571428571429,11.3274336283186,9.91071428571429,8.31858407079646,10.9734513274336
"Cyprus",5,NA,14.4444444444444,8.88888888888889,4.44444444444444,5.45454545454545,3.63636363636364,5.45454545454545,4.16666666666667
"Czech Republic",18.921568627451,21.2745098039216,19.4117647058824,19.2307692307692,19.8076923076923,17.6190476190476,20.377358490566,20.3738317757009,24.392523364486
"Denmark",11.4814814814815,13.0909090909091,11.8181818181818,14,13.2727272727273,13.0357142857143,13.5714285714286,10.3571428571429,14.2857142857143
"Dominican Republic",0,0,10.3030303030303,0.891089108910891,1.07843137254902,1.68316831683168,1.66666666666667,1.63461538461538,2.76190476190476
"Ecuador",2.53731343283582,1.69117647058824,NA,1.25,2.2463768115942,2.10884353741497,3.6241610738255,4.01273885350319,3.125
"Estonia",6.92307692307692,19.2307692307692,23.8461538461538,25.3846153846154,17.6923076923077,16.9230769230769,24.6153846153846,24.6153846153846,17.6923076923077
"Finland",20.5660377358491,17.1698113207547,15.2830188679245,17.7358490566038,17.3584905660377,17.2222222222222,20,17.7777777777778,22.4074074074074
"France",23.7726523887974,26.2889983579639,26.0096930533118,24.7672552166934,24.5686900958466,25.8320126782884,25.8582677165354,26.0186625194401,25.9287925696594
"Germany",15.223700120919,15.8766626360339,14.5333333333333,14.8053527980535,15.7856272838002,14.5985401459854,12.7682926829268,10.5804111245466,10.447400241838
"Greece",7.11711711711712,5.71428571428571,8.75,6.33928571428571,3.92857142857143,6.92982456140351,6.75438596491228,5.58558558558559,4.5045045045045
"Guatemala",0.465116279069767,1.36363636363636,0.510948905109489,0.428571428571429,0.416666666666667,0.54054054054054,0.33112582781457,0.387096774193548,0.50314465408805
"Hungary",17.5247524752475,15.1,14.8,14,15.9,13.1,14.4444444444444,15.5,20.5050505050505
"Iceland",20,0,6.66666666666667,20,10,6.66666666666667,10,13.3333333333333,10
"Iran (Islamic Republic of)",1.82076813655761,2.31741573033708,2.81163434903047,2.85714285714286,4.14114513981358,5.74866310160428,6.98412698412699,8.65633074935401,8.39490445859873
"Ireland",21.6666666666667,20.4651162790698,18.4090909090909,20,12.6086956521739,20.6666666666667,16.9565217391304,18.695652173913,13.4042553191489
"Israel",10,8.71428571428571,10.2857142857143,9.16666666666667,8.21917808219178,10.7894736842105,7.4025974025974,9.87012987012987,8.07692307692308
"Italy",21.2392426850258,20.5154639175258,20.3904923599321,21.2520868113523,21.5973377703827,21.7927631578947,21.9180327868852,21.6885245901639,22.6513911620295
"Japan",0.873634945397816,0.818394388152767,0.852228303362002,0.825471698113208,0.826771653543307,0.885375494071146,0.870253164556962,0.660896931549961,0.606299212598425
"Kuwait",5,4.28571428571429,4.48275862068966,1.66666666666667,2.25806451612903,3.21428571428571,6.20689655172414,3.23529411764706,6.85714285714286
"Latvia",18.695652173913,18.695652173913,13.0434782608696,15.4545454545455,15.4545454545455,18.1818181818182,17.2727272727273,16.1904761904762,14.5
"Lithuania",9.70588235294118,14.1176470588235,9.70588235294118,15.1515151515152,10.9090909090909,11.8181818181818,12.4242424242424,16.6666666666667,10.3333333333333
"Malaysia",0.968992248062015,0.954198473282443,0.481481481481481,0.654545454545455,0.645161290322581,0.795847750865052,0.614334470989761,0.538720538720539,0.728476821192053
"Mexico",3.43490304709141,3.20255474452555,3.07977736549165,2.84671532846715,2.84810126582278,3.10104529616725,3.557278208441,3.58135731807032,3.36025848142165
"Netherlands",12.8658536585366,16.890243902439,12.7272727272727,13.6746987951807,13.5928143712575,13.5928143712575,15.3293413173653,15.8928571428571,16.7857142857143
"New Zealand",6.09756097560976,9.26829268292683,7.38095238095238,10,8.83720930232558,7.95454545454545,8.44444444444444,8,10
"Norway",16.5217391304348,20,20.8510638297872,21.25,20.8163265306122,25.9183673469388,23.4,22.2,22.7450980392157
"Paraguay",0.317460317460317,NA,1.7741935483871,3.01587301587302,1.84615384615385,0,7.46268656716418,1.91176470588235,1.30434782608696
"Poland",12.8831168831169,9.14285714285714,11.2368421052632,11.0236220472441,13.3947368421053,14.4386422976501,16.0574412532637,15.5235602094241,15.5497382198953
"Portugal",19.1428571428571,23.7735849056604,26.4485981308411,30.7476635514019,30.1869158878505,28.1308411214953,23.5514018691589,27.8301886792453,27.2641509433962
"Republic of Korea",2.9375,3.07692307692308,3.05785123966942,5.40372670807453,5.52577319587629,5.53719008264463,9.44444444444444,8.43813387423935,9.01010101010101
"Romania",1.01851851851852,1.67441860465116,2.8169014084507,1.97183098591549,3.30188679245283,3.5981308411215,3.03738317757009,6.08294930875576,6.38888888888889
"Saudi Arabia",4.04761904761905,3.10077519379845,4.1501976284585,2.64591439688716,3.62595419847328,2.59786476868327,2.89198606271777,2.32638888888889,3.43537414965986
"Singapore",6.81818181818182,5.90909090909091,6,5.31914893617021,5.41666666666667,3.84615384615385,2.83018867924528,4.44444444444444,2.90909090909091
"Slovakia",11.8518518518519,19.8148148148148,14.2592592592593,15.9259259259259,16.8518518518519,12.5454545454545,12.9090909090909,10.9090909090909,11.6363636363636
"Slovenia",15,11.5,18.5,17,20.5,15.5,23.5,22.8571428571429,20.952380952381
"South Africa",1.38655462184874,1.29979035639413,1.63934426229508,2.79441117764471,1.94059405940594,1.52475247524752,2.05128205128205,1.32575757575758,1.43126177024482
"Spain",34.7695852534562,35.5504587155963,35.3587443946188,35.7683741648107,33.1567328918322,35.8494623655914,35.1068376068376,35.2878464818763,35.7112526539278
"Sudan",0,0,NA,0,0,0,0,0,0
"Sweden",15.0549450549451,14.6153846153846,16.5217391304348,13.9130434782609,12.6881720430108,15.531914893617,15.0526315789474,15.8333333333333,17.2916666666667
"Switzerland",10.958904109589,11.0958904109589,12,13.5526315789474,12.8947368421053,12.987012987013,12.4675324675325,13.5802469135802,14.2682926829268
"Thailand",0.972222222222222,1.42419601837672,1.2597200622084,1.28318584070796,1.27753303964758,1.62589928057554,1.94563662374821,2.35820895522388,2.79761904761905
"Tunisia",0.392156862745098,0.776699029126214,1.34615384615385,1.35922330097087,1.53846153846154,0.566037735849057,0.0934579439252337,0.818181818181818,0.810810810810811
"Turkey",1.92722371967655,2.96542553191489,3.45646437994723,3.50267379679144,3.59313077939234,4.22554347826087,4.63087248322148,5.086782376502,5.36939313984169
"United Kingdom",13.0267558528428,13.2166666666667,14.5081967213115,15.1136363636364,16.3974151857835,16.9230769230769,18.5350318471338,20.9667194928685,20.6141732283465
"United States of America",26.6578073089701,26.6173083251069,25.8549222797927,25.4877661264697,25.0094458438287,25.9533695305014,25.7853071564281,25.8294283036551,26.6460012399256
"Uruguay",23.1428571428571,17.1428571428571,18.5294117647059,19.1176470588235,14.4117647058824,20,15.8823529411765,17.0588235294118,20
"Venezuela (Bolivarian Republic of)",2.27941176470588,3.57400722021661,3.30960854092527,3.18181818181818,3.44827586206897,3.80952380952381,4.68227424749164,3.68421052631579,1.74757281553398
